,PlayId,Team,X,Y,S,A,Dis,YardLine,Quarter,Down,Distance,DefendersInTheBox,Yards,PlayerHeight,PlayerWeight,Temperature
0,20181230033760,home,40.9,22.51,1.4,1.24,0.15,32,4,1,10,7.0,5,6-5,310,46.0
1,20181021100750,away,49.92,28.46,5.14,0.3,0.54,38,1,1,10,7.0,-1,6-5,320,52.0
2,20181125073024,home,45.85,14.2,3.36,1.61,0.33,37,3,1,10,6.0,-3,6-0,230,77.0
3,20181007012422,away,27.17,24.79,4.37,3.99,0.46,14,3,1,10,7.0,-4,5-11,198,80.0
4,20180906001181,home,36.04,23.51,1.28,2.29,0.13,20,2,1,10,6.0,0,6-6,243,81.0
5,20170910001020,away,54.22,24.43,1.41,1.08,0.24,43,2,3,3,6.0,23,6-2,248,65.0
6,20181209063060,away,63.75,20.59,1.52,3.05,0.2,46,3,1,10,7.0,0,6-8,380,82.0
7,20180923113547,home,86.22,21.54,3.99,1.63,0.41,25,4,1,10,8.0,1,6-5,331,
8,20181021061922,home,106.78,21.3,1.05,2.46,0.09,9,3,1,9,6.0,-1,6-1,215,89.0
9,20171225000948,home,74.63,11.84,3.57,2.55,0.39,34,2,1,10,8.0,48,6-0,184,51.0
10,20181029002461,away,20.85,24.89,0.54,1.28,0.09,11,3,1,10,8.0,4,6-2,265,46.0
11,20171231101282,home,89.75,41.31,2.98,2.34,0.38,21,2,2,10,6.0,8,6-1,209,71.0
12,20181223112671,home,84.8,21.39,3.58,1.67,0.35,25,3,1,10,6.0,-2,6-5,260,72.0
13,20180923030297,home,107.22,30.22,1.56,2.67,0.17,2,1,2,2,7.0,-3,6-5,277,78.0
14,20181216044391,away,52.72,24.55,1.82,0.96,0.18,45,4,2,7,8.0,3,6-3,235,43.0
15,20181223000771,away,51.43,11.11,4.67,0.81,0.46,39,1,1,10,8.0,4,6-1,218,33.0
16,20171217083577,home,59.38,27.02,1.41,0.61,0.39,46,4,3,4,6.0,0,6-3,242,47.0
17,20171105022554,home,51.75,27.74,1.86,0.74,0.19,43,3,1,10,7.0,2,6-5,258,78.0
18,20170907001955,away,110.13,25.1,5.2,3.2,0.55,4,2,1,14,6.0,7,5-11,216,63.0
19,20191006072669,away,70.95,9.65,0.63,1.52,0.07,47,3,1,10,7.0,6,6-1,193,70.0
20,20191117020119,away,34.76,26.65,4.54,1.77,0.46,28,1,1,10,6.0,2,6-4,255,68.0
21,20191003003170,away,56.56,30.23,2.79,2.75,0.26,50,3,1,10,7.0,2,6-3,245,57.0
22,20171112101535,away,73.33,25.25,0.58,0.47,0.09,37,2,2,4,6.0,3,6-2,315,68.0
23,20180909073643,home,50.04,25.34,2.34,0.52,0.23,25,4,1,10,6.0,7,6-0,190,59.0
24,20171126061838,home,79.56,9.83,2.89,1.68,0.28,32,2,2,11,6.0,7,6-3,218,49.0
25,20171022033258,home,28.53,30.3,2.01,2.44,0.24,26,4,1,10,6.0,3,5-11,200,52.0
26,20181104080375,home,97.5,25.95,1.06,1.23,0.14,12,1,3,1,6.0,2,6-5,310,56.0
27,20190929051865,home,24.02,36.81,3.06,1.76,0.32,15,2,1,10,6.0,-2,6-4,250,77.0
28,20181014000488,away,91.27,35.49,3.34,0.92,0.33,19,1,1,10,7.0,4,6-9,315,
29,20181118020357,away,24.36,34.04,0.58,1.38,0.06,15,1,1,10,7.0,-1,6-5,252,33.0
30,20181028101638,home,51.82,34.52,7.44,1.54,0.75,47,2,2,10,7.0,0,6-3,196,82.0
31,20181104033241,away,54.24,26.96,1.38,2.47,0.14,46,4,1,10,6.0,0,6-6,309,53.0
32,20191103101419,away,87.94,25.13,2.09,2.43,0.21,8,2,1,10,6.0,6,6-0,214,79.0
33,20170917111396,home,69.05,42.16,2.66,2.03,0.27,34,2,2,1,8.0,2,6-2,213,76.0
34,20191110032740,away,89.93,43.97,3.01,3.03,0.29,23,3,1,10,7.0,0,5-10,180,34.0
35,20191117030267,home,105.5,25.8,4.1,1.23,0.4,7,1,2,10,6.0,7,6-5,267,43.0
36,20170910053500,home,35.69,27.75,1.56,0.95,0.25,26,4,2,9,8.0,3,6-2,305,80.0
37,20171231131643,away,60.97,27.67,0.4,0.6,0.06,48,2,2,3,8.0,2,6-6,330,62.0
38,20170917080825,away,40.64,26.23,2.17,1.85,0.25,29,2,1,10,7.0,-2,6-5,263,71.0
39,20190929122688,home,80.49,23.18,3.79,0.77,0.38,34,3,3,1,7.0,1,6-2,215,87.0
40,20181028100836,away,84.8,35.73,2.08,3.96,0.21,26,1,2,6,7.0,1,5-10,192,82.0
41,20181216022633,home,52.35,20.08,4.19,1.53,0.42,43,3,2,3,7.0,5,6-5,246,39.0
